2026-01-11T16:22:44.200567,openai,gemini-2.5-flash,zero_shot,1768,52,0,55,50,1,51,0,0,False,N/A,
2026-01-11T16:24:42.629177,openai,gemini-2.5-flash,few_shot,13782,313,0,316,352,61,413,0,0,False,N/A,
2026-01-11T19:03:08.163327,gemini,gemini-2.5-flash,few_shot,14990,313,0,316,352,61,413,0,0,False,N/A,
2026-01-11T19:43:10.343189,openai,gemini-2.5-flash,zero_shot,1618,52,0,55,50,1,51,0,0,False,N/A,
2026-01-11T19:43:22.717196,gemini,gemini-2.5-flash,few_shot,12363,313,0,316,352,58,410,0,0,False,N/A,
2026-01-11T19:48:19.585521,openai,gemini-2.5-flash,zero_shot,1674,52,0,55,50,1,51,0,0,False,N/A,
2026-01-11T19:48:37.751128,gemini,gemini-2.5-flash,few_shot,17364,313,0,316,352,75,427,0,0,False,N/A,
2026-01-11T19:48:50.973892,gemini,gemini-2.5-flash-preview-09-2025,few_shot,4709,313,0,316,352,47,399,0,0,False,N/A,
2026-01-11T19:53:11.290486,google,gemini-2.5-flash-preview-09-2025,cot,7631,246,0,249,265,621,886,0,0,False,N/A,
2026-01-11T19:54:31.877076,google,gemini-2.5-flash-preview-09-2025,cot,7478,246,0,249,265,653,918,0,0,False,N/A,
2026-01-11T20:01:23.016156,google,gemini-2.5-flash-preview-09-2025,cot,7000,246,0,249,265,732,997,0,0,False,N/A,
